Incident_ID,Date,Type,Gravite,Statut,Actif_ID,Temps_Resolution_Heures
INC-0039,2024-01-26,Applicatif,Haute,Fermé,ACT-022,53
INC-0040,2024-09-11,Sécurité,Basse,Fermé,ACT-045,14
INC-0041,2024-02-09,BDD,Basse,Résolu,ACT-053,59
INC-0042,2024-08-21,Applicatif,Basse,Résolu,ACT-013,52
INC-0043,2024-03-12,Sécurité,Moyenne,Résolu,ACT-033,52
INC-0044,2025-07-03,Sécurité,Critique,Résolu,ACT-008,34
INC-0045,2024-09-28,Réseau,Basse,En cours,ACT-028,0
INC-0046,2024-11-17,BDD,Moyenne,Résolu,ACT-033,15
INC-0047,2025-08-13,Applicatif,Basse,Résolu,ACT-046,56
INC-0048,2025-07-05,Applicatif,Moyenne,Ouvert,ACT-005,0
INC-0049,2024-12-04,Matériel,Moyenne,Fermé,ACT-055,16
INC-0050,2024-11-03,Matériel,Moyenne,Fermé,ACT-027,42
INC-0051,2024-10-29,Matériel,Basse,Résolu,ACT-027,49
INC-0052,2024-06-27,Matériel,Moyenne,Résolu,ACT-026,71
INC-0053,2024-11-07,Sécurité,Basse,Fermé,ACT-051,42
INC-0054,2025-03-28,Applicatif,Moyenne,Résolu,ACT-051,22
INC-0055,2024-10-17,Matériel,Moyenne,Résolu,ACT-040,43
INC-0056,2024-08-28,Sécurité,Basse,Ouvert,ACT-013,0
INC-0057,2024-02-17,Applicatif,Critique,En cours,ACT-040,0
INC-0058,2024-03-15,BDD,Moyenne,Fermé,ACT-041,25
INC-0059,2025-01-28,BDD,Moyenne,Fermé,ACT-010,1
INC-0060,2024-04-19,BDD,Basse,Fermé,ACT-052,67
INC-0061,2025-07-24,Applicatif,Critique,Résolu,ACT-008,59
INC-0062,2025-04-20,Matériel,Critique,En cours,ACT-039,0
INC-0063,2025-03-29,Matériel,Haute,Résolu,ACT-058,65
INC-0064,2025-07-15,BDD,Haute,Résolu,ACT-048,61
INC-0065,2024-09-10,Sécurité,Haute,Résolu,ACT-034,63
INC-0066,2024-10-08,BDD,Basse,Résolu,ACT-019,31
INC-0067,2024-11-23,Matériel,Basse,En cours,ACT-010,0
INC-0068,2025-12-11,Applicatif,Haute,En cours,ACT-005,0
INC-0069,2024-12-04,Matériel,Moyenne,Résolu,ACT-004,27
INC-0070,2025-02-02,Matériel,Critique,Fermé,ACT-002,49
INC-0071,2024-12-26,Sécurité,Haute,Résolu,ACT-055,54
INC-0072,2025-07-13,Matériel,Haute,Résolu,ACT-032,29
INC-0073,2025-05-12,Réseau,Moyenne,En cours,ACT-043,0
INC-0074,2025-02-18,Applicatif,Haute,Résolu,ACT-059,17
INC-0075,2025-06-30,Réseau,Critique,Fermé,ACT-038,4
INC-0076,2025-03-14,Applicatif,Haute,Ouvert,ACT-012,0
INC-0077,2025-01-23,Sécurité,Basse,Ouvert,ACT-021,0
INC-0078,2025-01-23,Sécurité,Haute,Résolu,ACT-054,54
INC-0079,2024-03-24,BDD,Basse,En cours,ACT-035,0
INC-0080,2024-12-24,Applicatif,Moyenne,Ouvert,ACT-050,0
INC-0081,2024-02-11,Réseau,Critique,Fermé,ACT-013,3
INC-0082,2024-09-01,Applicatif,Moyenne,Résolu,ACT-008,28
INC-0083,2024-09-19,Sécurité,Basse,Résolu,ACT-039,15
INC-0084,2024-06-16,Sécurité,Basse,Fermé,ACT-002,40
INC-0085,2025-01-19,BDD,Critique,Résolu,ACT-013,10
INC-0086,2025-10-04,Applicatif,Basse,Résolu,ACT-050,39
INC-0087,2025-09-06,Réseau,Haute,Fermé,ACT-037,6
INC-0088,2025-03-14,Sécurité,Basse,Résolu,ACT-042,44
INC-0089,2025-03-06,BDD,Basse,Ouvert,ACT-024,0
INC-0090,2025-04-15,Applicatif,Moyenne,Résolu,ACT-047,67
INC-0091,2024-10-03,Matériel,Haute,Fermé,ACT-035,62
INC-0092,2025-08-29,Sécurité,Moyenne,Résolu,ACT-016,12
INC-0093,2025-04-06,Applicatif,Haute,En cours,ACT-037,0
INC-0094,2025-01-23,Sécurité,Basse,Résolu,ACT-055,42
INC-0095,2024-08-05,Sécurité,Haute,En cours,ACT-022,0
INC-0096,2025-09-02,Sécurité,Moyenne,En cours,ACT-034,0
INC-0097,2024-03-28,Applicatif,Haute,Fermé,ACT-032,72
INC-0098,2025-12-08,BDD,Moyenne,Fermé,ACT-032,58
INC-0099,2024-04-05,Sécurité,Basse,Fermé,ACT-045,32
INC-0100,2025-08-18,Sécurité,Moyenne,Résolu,ACT-034,45
INC-0101,2025-07-17,Sécurité,Moyenne,Résolu,ACT-030,35
INC-0102,2024-08-24,Réseau,Haute,Résolu,ACT-021,16
INC-0103,2025-12-07,Applicatif,Basse,Fermé,ACT-048,62
INC-0104,2025-08-26,Matériel,Moyenne,En cours,ACT-007,0
INC-0105,2024-10-30,Applicatif,Moyenne,Fermé,ACT-020,2
INC-0106,2024-05-09,Sécurité,Basse,Fermé,ACT-004,71
INC-0107,2024-05-09,BDD,Basse,En cours,ACT-001,0
INC-0108,2025-04-25,BDD,Moyenne,Résolu,ACT-012,7
INC-0109,2025-05-04,Réseau,Haute,En cours,ACT-026,0
INC-0110,2025-08-13,Réseau,Basse,Résolu,ACT-052,39
INC-0111,2024-09-11,Réseau,Moyenne,Ouvert,ACT-027,0
INC-0112,2025-09-25,Applicatif,Haute,Résolu,ACT-025,58
INC-0113,2024-10-31,Matériel,Critique,Fermé,ACT-020,8
INC-0114,2024-04-11,Applicatif,Moyenne,Résolu,ACT-017,11
INC-0115,2024-06-26,Matériel,Basse,En cours,ACT-001,0
INC-0116,2025-12-06,Matériel,Moyenne,Résolu,ACT-003,30
INC-0117,2024-10-16,BDD,Basse,En cours,ACT-015,0
INC-0118,2025-10-02,Matériel,Moyenne,Fermé,ACT-060,26
INC-0119,2025-07-11,Applicatif,Moyenne,Résolu,ACT-059,35
INC-0120,2024-03-14,Réseau,Basse,Fermé,ACT-020,37
INC-0121,2025-04-24,Sécurité,Moyenne,Résolu,ACT-018,65
INC-0122,2025-03-24,Réseau,Moyenne,Résolu,ACT-057,56
INC-0123,2025-09-10,Sécurité,Basse,Fermé,ACT-015,3
INC-0124,2025-11-19,Sécurité,Moyenne,Fermé,ACT-049,23
INC-0125,2025-10-29,BDD,Critique,Résolu,ACT-012,56
INC-0126,2025-05-18,Réseau,Moyenne,Résolu,ACT-027,43
INC-0127,2024-04-17,Applicatif,Moyenne,Résolu,ACT-045,64
INC-0128,2025-02-14,Matériel,Basse,En cours,ACT-006,0
INC-0129,2024-11-27,Réseau,Critique,Résolu,ACT-026,66
INC-0130,2024-01-02,Matériel,Moyenne,Fermé,ACT-004,25
INC-0131,2025-09-29,BDD,Moyenne,Résolu,ACT-049,7
INC-0132,2025-07-16,Applicatif,Critique,En cours,ACT-029,0
INC-0133,2025-05-11,Réseau,Basse,Fermé,ACT-041,31
INC-0134,2024-11-14,Matériel,Basse,Fermé,ACT-027,12
INC-0135,2024-04-26,BDD,Critique,En cours,ACT-042,0
INC-0136,2025-05-25,Sécurité,Moyenne,Fermé,ACT-018,54
INC-0137,2025-04-28,Applicatif,Moyenne,Fermé,ACT-010,50
INC-0138,2025-09-05,Matériel,Haute,En cours,ACT-009,0
INC-0139,2024-10-09,BDD,Moyenne,Fermé,ACT-051,65
INC-0140,2024-01-03,Sécurité,Haute,En cours,ACT-054,0
INC-0141,2025-11-06,BDD,Haute,Résolu,ACT-029,69
INC-0142,2024-12-06,Matériel,Haute,Résolu,ACT-025,59
INC-0143,2024-07-12,Applicatif,Moyenne,Fermé,ACT-015,53
INC-0144,2025-04-29,BDD,Moyenne,Ouvert,ACT-043,0
INC-0145,2025-10-29,Applicatif,Moyenne,Fermé,ACT-003,17
INC-0146,2025-08-27,Sécurité,Haute,Résolu,ACT-056,57
INC-0147,2025-04-12,Réseau,Haute,Ouvert,ACT-027,0
INC-0148,2024-06-07,Réseau,Moyenne,Fermé,ACT-017,44
INC-0149,2025-02-11,Réseau,Haute,Résolu,ACT-055,69
INC-0150,2024-11-20,BDD,Haute,Résolu,ACT-003,9
INC-0151,2025-12-01,Sécurité,Critique,En cours,ACT-048,0
INC-0152,2024-04-10,Réseau,Moyenne,Ouvert,ACT-045,0
INC-0153,2024-01-30,Réseau,Moyenne,En cours,ACT-004,0
INC-0154,2025-01-18,BDD,Basse,En cours,ACT-034,0
INC-0155,2025-11-29,Applicatif,Basse,Résolu,ACT-006,49
INC-0156,2024-09-03,BDD,Critique,Résolu,ACT-010,30
INC-0157,2024-09-17,BDD,Basse,Résolu,ACT-001,60
INC-0158,2025-11-24,Matériel,Basse,Fermé,ACT-029,45
INC-0159,2024-11-02,BDD,Moyenne,Fermé,ACT-030,39
INC-0160,2025-01-28,BDD,Basse,En cours,ACT-025,0
INC-0161,2025-08-11,Sécurité,Critique,Résolu,ACT-019,3
INC-0162,2025-11-05,BDD,Basse,Fermé,ACT-037,7
INC-0163,2025-05-23,Sécurité,Haute,Fermé,ACT-015,46
INC-0164,2024-07-13,Matériel,Basse,En cours,ACT-049,0
INC-0165,2025-11-06,Applicatif,Moyenne,Fermé,ACT-058,6
INC-0166,2025-03-27,Réseau,Moyenne,Résolu,ACT-047,17
INC-0167,2024-10-29,Sécurité,Haute,Ouvert,ACT-012,0
INC-0168,2025-07-06,Sécurité,Moyenne,En cours,ACT-059,0
INC-0169,2024-06-17,Sécurité,Critique,En cours,ACT-031,0
INC-0170,2024-10-29,Sécurité,Haute,Fermé,ACT-030,10
INC-0171,2024-08-19,BDD,Critique,En cours,ACT-052,0
INC-0172,2024-04-02,BDD,Basse,Résolu,ACT-035,16
INC-0173,2025-11-19,Sécurité,Moyenne,Résolu,ACT-053,48
INC-0174,2024-08-27,BDD,Basse,En cours,ACT-057,0
INC-0175,2024-12-01,Matériel,Basse,Fermé,ACT-005,60
INC-0176,2024-11-05,BDD,Basse,Fermé,ACT-003,5
INC-0177,2025-05-19,Réseau,Basse,Résolu,ACT-057,69
INC-0178,2025-04-09,Sécurité,Moyenne,En cours,ACT-048,0
INC-0179,2025-07-07,BDD,Moyenne,Résolu,ACT-047,20
INC-0180,2025-11-01,Réseau,Haute,Fermé,ACT-040,53
INC-0181,2024-10-13,Réseau,Moyenne,Fermé,ACT-014,57
INC-0182,2024-08-29,Sécurité,Basse,Résolu,ACT-044,48
INC-0183,2025-10-22,Sécurité,Basse,Résolu,ACT-018,25
INC-0184,2025-04-10,Réseau,Moyenne,Fermé,ACT-042,3
INC-0185,2024-12-07,Applicatif,Critique,Ouvert,ACT-051,0
INC-0186,2024-03-11,Matériel,Basse,Résolu,ACT-014,30
INC-0187,2024-05-31,Matériel,Basse,Résolu,ACT-055,19
INC-0188,2025-07-07,Sécurité,Haute,Fermé,ACT-008,4
INC-0189,2025-01-01,Applicatif,Moyenne,En cours,ACT-002,0
INC-0190,2024-02-23,Applicatif,Haute,En cours,ACT-034,0
INC-0191,2024-03-06,BDD,Moyenne,En cours,ACT-024,0
INC-0192,2024-04-21,BDD,Moyenne,Résolu,ACT-040,6
INC-0193,2025-11-05,Matériel,Moyenne,Fermé,ACT-042,4
INC-0194,2025-05-05,BDD,Moyenne,Ouvert,ACT-007,0
INC-0195,2025-03-30,Réseau,Haute,Résolu,ACT-021,19
INC-0196,2024-10-08,Matériel,Moyenne,Ouvert,ACT-036,0
INC-0197,2025-01-25,Matériel,Moyenne,Fermé,ACT-030,65
INC-0198,2024-04-11,Réseau,Haute,Résolu,ACT-042,71
INC-0199,2024-08-08,BDD,Moyenne,Fermé,ACT-015,53
INC-0200,2025-04-09,BDD,Moyenne,Résolu,ACT-007,41
INC-0201,2025-11-12,Sécurité,Moyenne,Résolu,ACT-010,61
INC-0202,2024-03-28,Réseau,Moyenne,Ouvert,ACT-048,0
INC-0203,2024-05-13,Matériel,Basse,Fermé,ACT-036,72
INC-0204,2024-05-05,BDD,Moyenne,Résolu,ACT-043,55
INC-0205,2024-02-22,Sécurité,Moyenne,Fermé,ACT-023,14
INC-0206,2024-08-05,Applicatif,Moyenne,Résolu,ACT-015,14
INC-0207,2025-07-23,Sécurité,Basse,Résolu,ACT-018,29
INC-0208,2025-07-28,Matériel,Moyenne,Fermé,ACT-042,72
INC-0209,2025-11-04,Sécurité,Basse,Ouvert,ACT-018,0
INC-0210,2024-11-12,Sécurité,Moyenne,Fermé,ACT-012,19
INC-0211,2025-02-14,Réseau,Basse,Résolu,ACT-041,4
INC-0212,2025-06-27,Applicatif,Moyenne,Ouvert,ACT-030,0
INC-0213,2025-01-13,Sécurité,Haute,Résolu,ACT-050,11
INC-0214,2024-06-08,Applicatif,Haute,Fermé,ACT-004,11
INC-0215,2025-11-08,BDD,Moyenne,En cours,ACT-029,0
INC-0216,2024-08-08,Matériel,Basse,Résolu,ACT-028,15
INC-0217,2025-11-25,Matériel,Moyenne,En cours,ACT-043,0
INC-0218,2024-08-13,BDD,Critique,Résolu,ACT-004,1
INC-0219,2024-08-04,Applicatif,Haute,En cours,ACT-019,0
INC-0220,2024-01-08,BDD,Haute,Résolu,ACT-012,17
INC-0221,2025-12-21,Applicatif,Moyenne,Résolu,ACT-054,46
INC-0222,2024-02-13,BDD,Basse,Ouvert,ACT-059,0
INC-0223,2024-11-16,Matériel,Moyenne,Ouvert,ACT-026,0
INC-0224,2025-03-03,Sécurité,Basse,Fermé,ACT-002,42
INC-0225,2025-09-24,BDD,Haute,En cours,ACT-059,0
INC-0226,2025-03-23,Réseau,Basse,Résolu,ACT-038,52
INC-0227,2025-02-09,Sécurité,Haute,Résolu,ACT-015,43
INC-0228,2024-03-19,Matériel,Moyenne,Fermé,ACT-034,66
INC-0229,2024-12-23,Sécurité,Haute,En cours,ACT-053,0
INC-0230,2024-05-31,Applicatif,Basse,Résolu,ACT-017,26
INC-0231,2024-06-05,Réseau,Basse,En cours,ACT-050,0
INC-0232,2025-04-20,Matériel,Haute,Résolu,ACT-029,42
INC-0233,2025-10-04,Sécurité,Basse,Fermé,ACT-005,61
INC-0234,2024-11-06,Sécurité,Moyenne,Résolu,ACT-023,65
INC-0235,2025-04-17,BDD,Basse,Ouvert,ACT-024,0
INC-0236,2024-03-19,Réseau,Moyenne,Fermé,ACT-033,50
INC-0237,2025-07-21,Réseau,Moyenne,Résolu,ACT-052,25
INC-0238,2025-05-02,Matériel,Basse,Résolu,ACT-004,58
INC-0239,2024-12-17,Réseau,Moyenne,En cours,ACT-012,0
INC-0240,2025-12-25,BDD,Critique,Ouvert,ACT-034,0
INC-0241,2024-06-11,Sécurité,Moyenne,Résolu,ACT-019,50
INC-0242,2024-12-12,Matériel,Basse,Résolu,ACT-041,43
INC-0243,2024-04-06,Matériel,Moyenne,Ouvert,ACT-019,0
INC-0244,2025-11-03,Matériel,Haute,En cours,ACT-022,0
INC-0245,2025-11-10,Applicatif,Critique,Ouvert,ACT-020,0
INC-0246,2025-12-16,BDD,Basse,Fermé,ACT-046,11
INC-0247,2025-01-20,Sécurité,Haute,Résolu,ACT-043,68
INC-0248,2025-11-17,BDD,Moyenne,Ouvert,ACT-002,0
INC-0249,2024-07-03,Applicatif,Moyenne,Résolu,ACT-050,63
INC-0250,2024-05-20,Applicatif,Basse,En cours,ACT-055,0
INC-0251,2025-06-03,Matériel,Haute,Fermé,ACT-057,68
INC-0252,2024-12-10,Matériel,Basse,Ouvert,ACT-025,0
INC-0253,2024-07-04,Matériel,Haute,En cours,ACT-011,0
INC-0254,2024-02-14,BDD,Moyenne,Fermé,ACT-047,31
INC-0255,2025-09-17,Sécurité,Haute,Fermé,ACT-051,58
INC-0256,2024-09-01,Sécurité,Critique,En cours,ACT-051,0
INC-0257,2024-07-17,Sécurité,Moyenne,Résolu,ACT-037,57
INC-0258,2024-10-15,BDD,Moyenne,Résolu,ACT-027,21
INC-0259,2025-09-11,Applicatif,Haute,Fermé,ACT-004,62
INC-0260,2025-07-21,Réseau,Haute,Fermé,ACT-034,16
INC-0261,2024-06-13,Sécurité,Moyenne,En cours,ACT-033,0
INC-0262,2025-03-23,Réseau,Critique,En cours,ACT-015,0
INC-0263,2024-12-23,Réseau,Moyenne,Fermé,ACT-026,65
INC-0264,2025-01-30,Réseau,Moyenne,Résolu,ACT-002,41
INC-0265,2025-10-27,Sécurité,Haute,Fermé,ACT-009,5
INC-0266,2025-04-28,Applicatif,Haute,En cours,ACT-031,0
INC-0267,2024-01-06,Réseau,Basse,Résolu,ACT-014,20
INC-0268,2025-09-15,Matériel,Moyenne,Résolu,ACT-050,37
INC-0269,2024-05-04,Réseau,Basse,En cours,ACT-041,0
INC-0270,2025-04-13,Réseau,Basse,Fermé,ACT-058,64
INC-0271,2024-01-17,Matériel,Moyenne,Résolu,ACT-046,19
INC-0272,2024-01-02,Matériel,Moyenne,En cours,ACT-037,0
INC-0273,2025-11-11,Réseau,Moyenne,Résolu,ACT-024,9
INC-0274,2025-07-11,Matériel,Haute,Fermé,ACT-033,71
INC-0275,2025-04-26,Réseau,Moyenne,Ouvert,ACT-024,0
INC-0276,2024-01-17,Sécurité,Haute,En cours,ACT-023,0
INC-0277,2025-11-03,Réseau,Haute,En cours,ACT-048,0
INC-0278,2024-05-16,Réseau,Moyenne,Fermé,ACT-022,23
INC-0279,2025-12-02,BDD,Critique,Fermé,ACT-031,24
INC-0280,2024-03-05,BDD,Basse,Fermé,ACT-013,6
INC-0281,2024-02-12,Sécurité,Critique,Fermé,ACT-033,51
INC-0282,2025-07-10,BDD,Basse,Fermé,ACT-049,25
INC-0283,2024-02-18,Sécurité,Basse,En cours,ACT-052,0
INC-0284,2025-02-13,BDD,Haute,Résolu,ACT-025,44
INC-0285,2025-05-23,BDD,Moyenne,Fermé,ACT-052,67
INC-0286,2024-03-25,BDD,Basse,En cours,ACT-039,0
INC-0287,2024-07-03,Matériel,Basse,Fermé,ACT-007,11
INC-0288,2024-10-29,Sécurité,Moyenne,Résolu,ACT-046,55
INC-0289,2025-03-30,Sécurité,Moyenne,En cours,ACT-047,0
INC-0290,2024-12-27,Matériel,Critique,Fermé,ACT-018,8
INC-0291,2025-10-14,BDD,Moyenne,Ouvert,ACT-052,0
INC-0292,2024-06-12,Réseau,Basse,Fermé,ACT-039,57
INC-0293,2024-03-09,Applicatif,Haute,Ouvert,ACT-024,0
INC-0294,2025-08-03,Réseau,Moyenne,Résolu,ACT-044,58
INC-0295,2025-01-15,BDD,Haute,Fermé,ACT-037,18
INC-0296,2025-02-11,Sécurité,Moyenne,Résolu,ACT-016,15
INC-0297,2024-07-09,BDD,Moyenne,Ouvert,ACT-059,0
INC-0298,2024-09-25,Sécurité,Haute,Résolu,ACT-014,37
INC-0299,2025-05-17,Applicatif,Basse,Résolu,ACT-055,10
INC-0300,2025-12-31,BDD,Critique,Résolu,ACT-052,41
INC-0301,2025-12-27,Réseau,Moyenne,Résolu,ACT-019,39
INC-0302,2025-12-29,Applicatif,Haute,Fermé,ACT-033,29
INC-0303,2024-07-24,Applicatif,Basse,En cours,ACT-032,0
INC-0304,2025-07-21,Matériel,Moyenne,Ouvert,ACT-052,0
INC-0305,2024-05-12,Matériel,Haute,Fermé,ACT-005,40
INC-0306,2025-05-05,Matériel,Moyenne,Résolu,ACT-027,10
INC-0307,2024-11-20,Réseau,Moyenne,En cours,ACT-044,0
INC-0308,2024-05-11,Matériel,Moyenne,Résolu,ACT-012,17
INC-0309,2024-02-26,Réseau,Moyenne,Résolu,ACT-020,22
INC-0310,2025-12-27,Applicatif,Moyenne,En cours,ACT-034,0
INC-0311,2024-03-21,Sécurité,Basse,Fermé,ACT-036,36
INC-0312,2024-11-06,Matériel,Moyenne,En cours,ACT-033,0
INC-0313,2025-08-29,Matériel,Basse,Résolu,ACT-043,44
INC-0314,2025-07-31,Réseau,Haute,Fermé,ACT-002,11
INC-0315,2025-10-18,Matériel,Basse,Ouvert,ACT-014,0
INC-0316,2025-03-02,Matériel,Moyenne,Fermé,ACT-032,70
INC-0317,2024-11-05,BDD,Basse,En cours,ACT-052,0
INC-0318,2024-10-31,BDD,Basse,Résolu,ACT-004,21
INC-0319,2025-05-10,BDD,Basse,Résolu,ACT-039,19
INC-0320,2024-11-22,Sécurité,Critique,Résolu,ACT-009,48
INC-0321,2024-04-18,Sécurité,Basse,Résolu,ACT-008,35
INC-0322,2024-05-24,Réseau,Basse,Résolu,ACT-025,54
INC-0323,2024-06-12,Sécurité,Critique,En cours,ACT-047,0
INC-0324,2024-06-12,BDD,Critique,Résolu,ACT-030,64
INC-0325,2025-05-24,Réseau,Basse,Fermé,ACT-026,65
INC-0326,2024-09-03,Applicatif,Moyenne,Résolu,ACT-004,7
INC-0327,2025-09-03,BDD,Basse,En cours,ACT-001,0
INC-0328,2025-03-17,Applicatif,Haute,Fermé,ACT-047,47
INC-0329,2025-01-09,Réseau,Moyenne,Fermé,ACT-037,72
INC-0330,2025-07-20,Sécurité,Basse,En cours,ACT-033,0
INC-0331,2025-07-17,Sécurité,Haute,Résolu,ACT-040,16
INC-0332,2024-04-09,BDD,Moyenne,En cours,ACT-022,0
INC-0333,2025-01-09,Applicatif,Basse,Résolu,ACT-033,52
INC-0334,2024-02-16,Réseau,Basse,Résolu,ACT-022,61
INC-0335,2024-06-01,Matériel,Haute,Résolu,ACT-009,42
INC-0336,2024-11-22,Applicatif,Moyenne,Fermé,ACT-040,39
INC-0337,2025-06-03,Matériel,Moyenne,Résolu,ACT-046,39
INC-0338,2024-01-18,Sécurité,Moyenne,Résolu,ACT-008,54
INC-0339,2025-12-05,Réseau,Moyenne,Résolu,ACT-017,30
INC-0340,2025-08-20,BDD,Basse,Fermé,ACT-041,49
INC-0341,2025-11-28,Applicatif,Basse,En cours,ACT-045,0
INC-0342,2024-01-20,BDD,Moyenne,En cours,ACT-010,0
INC-0343,2024-07-27,BDD,Moyenne,Résolu,ACT-040,61
INC-0344,2024-03-04,Applicatif,Moyenne,Fermé,ACT-036,42
INC-0345,2025-05-04,Matériel,Moyenne,Fermé,ACT-012,59
INC-0346,2024-12-16,Matériel,Moyenne,Fermé,ACT-050,34
INC-0347,2024-07-15,Applicatif,Basse,Résolu,ACT-020,29
INC-0348,2024-10-31,Sécurité,Haute,Fermé,ACT-045,63
INC-0349,2024-12-23,Matériel,Critique,Résolu,ACT-051,36
INC-0350,2025-08-10,Matériel,Moyenne,En cours,ACT-026,0
INC-0351,2024-05-29,Sécurité,Basse,Fermé,ACT-046,11
INC-0352,2025-03-28,Sécurité,Haute,Résolu,ACT-014,26
INC-0353,2024-10-04,Matériel,Moyenne,Fermé,ACT-009,14
INC-0354,2025-08-23,Applicatif,Basse,Résolu,ACT-043,68
INC-0355,2024-08-26,Réseau,Basse,En cours,ACT-022,0
INC-0356,2024-04-12,Applicatif,Basse,Fermé,ACT-036,21
INC-0357,2025-05-02,BDD,Moyenne,Résolu,ACT-049,37
INC-0358,2025-10-23,Réseau,Critique,Résolu,ACT-006,30
INC-0359,2024-02-08,Applicatif,Moyenne,Résolu,ACT-054,23
INC-0360,2024-02-07,BDD,Haute,Fermé,ACT-012,38
INC-0361,2024-01-10,Sécurité,Moyenne,Fermé,ACT-007,43
INC-0362,2025-10-18,Matériel,Moyenne,En cours,ACT-057,0
INC-0363,2025-05-31,BDD,Basse,Fermé,ACT-052,15
INC-0364,2025-04-14,Sécurité,Haute,Résolu,ACT-001,44
INC-0365,2025-08-04,Applicatif,Basse,Fermé,ACT-055,52
INC-0366,2025-06-11,Sécurité,Basse,Fermé,ACT-043,13
INC-0367,2024-05-23,BDD,Moyenne,En cours,ACT-016,0
INC-0368,2025-01-27,Applicatif,Moyenne,Ouvert,ACT-018,0
INC-0369,2024-11-05,Matériel,Haute,Fermé,ACT-001,34
INC-0370,2025-12-10,Applicatif,Basse,Résolu,ACT-008,60
INC-0371,2025-02-19,Matériel,Critique,Résolu,ACT-057,40
INC-0372,2025-10-16,Sécurité,Moyenne,Résolu,ACT-015,29
INC-0373,2025-05-04,Applicatif,Moyenne,Fermé,ACT-039,48
INC-0374,2025-07-16,BDD,Haute,Résolu,ACT-052,28
INC-0375,2025-11-27,Matériel,Haute,Fermé,ACT-006,68
INC-0376,2025-12-21,Sécurité,Basse,Résolu,ACT-037,15
INC-0377,2025-07-14,Matériel,Basse,Ouvert,ACT-035,0
INC-0378,2024-12-01,Matériel,Moyenne,En cours,ACT-044,0
INC-0379,2025-08-20,BDD,Basse,En cours,ACT-033,0
INC-0380,2024-02-26,BDD,Basse,Résolu,ACT-027,59
INC-0381,2025-07-26,BDD,Moyenne,Résolu,ACT-020,3
INC-0382,2024-01-04,Applicatif,Moyenne,Résolu,ACT-003,55
INC-0383,2024-03-06,Matériel,Critique,Résolu,ACT-060,9
INC-0384,2025-04-28,Réseau,Basse,Fermé,ACT-012,18
INC-0385,2025-10-23,BDD,Moyenne,Fermé,ACT-058,49
INC-0386,2025-01-21,BDD,Basse,Résolu,ACT-043,70
INC-0387,2024-12-22,Réseau,Basse,En cours,ACT-035,0
INC-0388,2024-05-10,Applicatif,Haute,Résolu,ACT-049,3
