Vuln_ID,Date_Detection,CVE,CVSS_Score,Criticite,Statut,Actif_ID
VUL-0043,2024-01-01,CVE-2023-2422,3.2,Basse,Corrigée,ACT-050
VUL-0044,2025-11-16,CVE-2024-7642,4.6,Moyenne,En cours,ACT-034
VUL-0045,2025-12-21,CVE-2023-2477,1.1,Basse,En cours,ACT-047
VUL-0046,2025-08-19,CVE-2024-6693,8.5,Haute,Corrigée,ACT-018
VUL-0047,2024-07-18,CVE-2024-7618,3.0,Basse,En cours,ACT-017
VUL-0048,2025-06-02,CVE-2023-2185,2.6,Basse,En cours,ACT-022
VUL-0049,2025-06-09,CVE-2024-9813,9.5,Critique,Corrigée,ACT-037
VUL-0050,2025-03-29,CVE-2024-8923,3.3,Basse,Corrigée,ACT-049
VUL-0051,2025-04-14,CVE-2025-8548,4.1,Moyenne,Corrigée,ACT-056
VUL-0052,2024-04-29,CVE-2024-2106,1.2,Basse,En cours,ACT-051
VUL-0053,2025-11-24,CVE-2025-4767,9.9,Critique,Corrigée,ACT-027
VUL-0054,2025-06-12,CVE-2025-1159,9.6,Critique,Corrigée,ACT-017
VUL-0055,2024-04-05,CVE-2024-6603,3.2,Basse,Ouverte,ACT-060
VUL-0056,2024-11-17,CVE-2024-4580,2.6,Basse,Corrigée,ACT-018
VUL-0057,2025-11-30,CVE-2023-9175,2.6,Basse,Corrigée,ACT-016
VUL-0058,2024-09-28,CVE-2023-4755,7.6,Haute,Ouverte,ACT-016
VUL-0059,2024-12-30,CVE-2023-2747,8.5,Haute,Ouverte,ACT-006
VUL-0060,2025-11-10,CVE-2024-1108,7.1,Haute,Corrigée,ACT-035
VUL-0061,2025-05-08,CVE-2024-6167,9.6,Critique,En cours,ACT-057
VUL-0062,2024-10-08,CVE-2024-3996,9.1,Critique,Corrigée,ACT-059
VUL-0063,2025-02-11,CVE-2023-3101,5.6,Moyenne,Ouverte,ACT-052
VUL-0064,2025-07-07,CVE-2023-9232,4.8,Moyenne,En cours,ACT-056
VUL-0065,2024-06-27,CVE-2024-2972,7.2,Haute,Corrigée,ACT-030
VUL-0066,2024-01-09,CVE-2023-4452,3.8,Basse,En cours,ACT-007
VUL-0067,2025-09-19,CVE-2024-4066,3.9,Basse,En cours,ACT-016
VUL-0068,2025-09-19,CVE-2024-6995,3.4,Basse,Ouverte,ACT-028
VUL-0069,2025-12-18,CVE-2024-6981,2.9,Basse,Corrigée,ACT-018
VUL-0070,2025-08-08,CVE-2023-4744,5.1,Moyenne,Corrigée,ACT-047
VUL-0071,2024-08-29,CVE-2025-8081,3.4,Basse,Corrigée,ACT-013
VUL-0072,2024-06-02,CVE-2024-1159,2.3,Basse,Ouverte,ACT-032
VUL-0073,2025-10-07,CVE-2025-9748,2.2,Basse,Corrigée,ACT-051
VUL-0074,2024-09-13,CVE-2025-1781,5.4,Moyenne,En cours,ACT-045
VUL-0075,2024-08-08,CVE-2024-8807,2.5,Basse,Corrigée,ACT-007
VUL-0076,2024-12-08,CVE-2024-6914,5.0,Moyenne,En cours,ACT-036
VUL-0077,2024-09-20,CVE-2024-1324,9.4,Critique,En cours,ACT-023
VUL-0078,2025-09-12,CVE-2023-9821,8.8,Haute,Ouverte,ACT-050
VUL-0079,2024-11-28,CVE-2025-9363,3.6,Basse,En cours,ACT-048
VUL-0080,2024-03-21,CVE-2024-5694,5.0,Moyenne,En cours,ACT-010
VUL-0081,2025-10-17,CVE-2024-7911,8.8,Haute,Corrigée,ACT-037
VUL-0082,2024-03-14,CVE-2023-3654,4.6,Moyenne,En cours,ACT-021
VUL-0083,2024-10-25,CVE-2025-5382,3.9,Basse,Corrigée,ACT-026
VUL-0084,2025-03-31,CVE-2024-9535,3.4,Basse,Corrigée,ACT-027
VUL-0085,2024-01-24,CVE-2023-4844,2.5,Basse,Corrigée,ACT-048
VUL-0086,2024-03-22,CVE-2023-3734,7.3,Haute,En cours,ACT-007
VUL-0087,2025-04-29,CVE-2025-1881,1.6,Basse,Ouverte,ACT-026
VUL-0088,2024-03-26,CVE-2023-5300,5.7,Moyenne,Corrigée,ACT-006
VUL-0089,2025-02-03,CVE-2024-4757,6.9,Moyenne,Ouverte,ACT-019
VUL-0090,2024-05-09,CVE-2023-9630,5.0,Moyenne,Corrigée,ACT-002
VUL-0091,2024-12-31,CVE-2024-8801,1.3,Basse,En cours,ACT-056
VUL-0092,2024-10-05,CVE-2025-8288,5.9,Moyenne,Ouverte,ACT-045
VUL-0093,2025-08-28,CVE-2025-8480,5.9,Moyenne,Corrigée,ACT-041
VUL-0094,2025-03-21,CVE-2025-9745,8.9,Haute,En cours,ACT-023
VUL-0095,2024-08-20,CVE-2023-8239,5.3,Moyenne,En cours,ACT-027
VUL-0096,2024-11-06,CVE-2023-1001,3.3,Basse,En cours,ACT-049
VUL-0097,2024-12-18,CVE-2024-8687,8.6,Haute,En cours,ACT-045
VUL-0098,2025-05-03,CVE-2024-1149,9.3,Critique,Corrigée,ACT-052
VUL-0099,2024-08-24,CVE-2023-9981,3.6,Basse,En cours,ACT-027
VUL-0100,2025-03-23,CVE-2024-5094,8.9,Haute,Ouverte,ACT-048
VUL-0101,2025-01-22,CVE-2023-5308,6.8,Moyenne,Ouverte,ACT-041
VUL-0102,2025-09-19,CVE-2025-5454,3.2,Basse,Ouverte,ACT-048
VUL-0103,2024-10-02,CVE-2024-4080,5.8,Moyenne,Corrigée,ACT-012
VUL-0104,2024-04-23,CVE-2025-8460,2.2,Basse,Corrigée,ACT-018
VUL-0105,2025-05-18,CVE-2023-6253,7.3,Haute,Ouverte,ACT-004
VUL-0106,2024-01-23,CVE-2023-2675,9.7,Critique,Ouverte,ACT-009
VUL-0107,2024-01-09,CVE-2023-2477,7.4,Haute,Ouverte,ACT-032
VUL-0108,2025-03-06,CVE-2024-9165,3.0,Basse,Corrigée,ACT-030
VUL-0109,2024-02-02,CVE-2024-2314,7.3,Haute,Corrigée,ACT-010
VUL-0110,2025-02-05,CVE-2023-9899,1.5,Basse,En cours,ACT-013
VUL-0111,2024-09-13,CVE-2024-1206,9.1,Critique,Ouverte,ACT-050
VUL-0112,2025-01-29,CVE-2024-5049,7.4,Haute,Corrigée,ACT-003
VUL-0113,2024-04-06,CVE-2025-4415,2.8,Basse,En cours,ACT-044
VUL-0114,2024-11-26,CVE-2023-1691,9.7,Critique,Corrigée,ACT-036
VUL-0115,2024-09-16,CVE-2024-5895,5.7,Moyenne,Ouverte,ACT-057
VUL-0116,2025-11-13,CVE-2023-2850,1.5,Basse,Ouverte,ACT-028
VUL-0117,2024-06-20,CVE-2024-2960,3.9,Basse,En cours,ACT-016
VUL-0118,2024-02-13,CVE-2025-8786,1.1,Basse,Corrigée,ACT-010
VUL-0119,2024-04-01,CVE-2023-3583,4.3,Moyenne,En cours,ACT-044
VUL-0120,2025-10-02,CVE-2023-1979,6.6,Moyenne,En cours,ACT-010
VUL-0121,2024-04-19,CVE-2023-8992,7.3,Haute,Ouverte,ACT-036
VUL-0122,2024-12-21,CVE-2024-4161,8.1,Haute,Ouverte,ACT-025
VUL-0123,2024-05-17,CVE-2024-1646,4.2,Moyenne,En cours,ACT-029
VUL-0124,2025-07-09,CVE-2025-9029,6.0,Moyenne,Ouverte,ACT-012
VUL-0125,2024-11-27,CVE-2025-8674,5.9,Moyenne,Ouverte,ACT-054
VUL-0126,2025-07-21,CVE-2023-2128,6.4,Moyenne,En cours,ACT-029
VUL-0127,2024-09-26,CVE-2025-7014,3.7,Basse,En cours,ACT-050
VUL-0128,2025-01-23,CVE-2025-4039,6.7,Moyenne,Corrigée,ACT-040
VUL-0129,2025-09-27,CVE-2023-6254,8.7,Haute,Corrigée,ACT-043
VUL-0130,2025-01-31,CVE-2023-9586,9.7,Critique,Corrigée,ACT-050
VUL-0131,2025-09-19,CVE-2024-6285,6.0,Moyenne,En cours,ACT-021
VUL-0132,2025-06-19,CVE-2025-2092,2.0,Basse,Ouverte,ACT-009
VUL-0133,2024-02-02,CVE-2023-2753,2.6,Basse,En cours,ACT-007
VUL-0134,2025-10-19,CVE-2024-9026,1.3,Basse,En cours,ACT-045
VUL-0135,2024-02-20,CVE-2024-4616,6.3,Moyenne,Corrigée,ACT-005
VUL-0136,2024-08-01,CVE-2025-9051,1.1,Basse,Corrigée,ACT-054
VUL-0137,2025-10-16,CVE-2023-6913,1.7,Basse,En cours,ACT-057
VUL-0138,2025-01-12,CVE-2025-1955,4.7,Moyenne,Corrigée,ACT-018
VUL-0139,2024-03-13,CVE-2024-2276,5.8,Moyenne,Corrigée,ACT-034
VUL-0140,2024-08-24,CVE-2025-7313,1.9,Basse,Ouverte,ACT-034
VUL-0141,2025-08-06,CVE-2025-3931,6.9,Moyenne,En cours,ACT-036
VUL-0142,2024-04-18,CVE-2025-6864,4.7,Moyenne,Corrigée,ACT-045
VUL-0143,2024-04-16,CVE-2023-3955,7.0,Haute,En cours,ACT-033
VUL-0144,2024-06-10,CVE-2025-8258,4.0,Moyenne,Corrigée,ACT-058
VUL-0145,2024-11-28,CVE-2024-7755,3.8,Basse,Corrigée,ACT-028
VUL-0146,2024-11-27,CVE-2025-4943,8.4,Haute,En cours,ACT-014
VUL-0147,2025-07-17,CVE-2025-5162,4.4,Moyenne,En cours,ACT-029
VUL-0148,2025-02-10,CVE-2023-1567,5.0,Moyenne,Corrigée,ACT-039
VUL-0149,2024-05-18,CVE-2024-1107,1.1,Basse,En cours,ACT-015
VUL-0150,2024-11-18,CVE-2023-5521,2.9,Basse,Corrigée,ACT-033
VUL-0151,2025-08-08,CVE-2023-2544,6.0,Moyenne,Ouverte,ACT-023
VUL-0152,2024-09-28,CVE-2024-5093,2.4,Basse,Ouverte,ACT-052
VUL-0153,2025-08-07,CVE-2024-4562,3.7,Basse,Corrigée,ACT-047
VUL-0154,2025-05-09,CVE-2023-8999,3.9,Basse,Corrigée,ACT-045
VUL-0155,2024-04-07,CVE-2025-5921,7.3,Haute,Ouverte,ACT-052
VUL-0156,2024-03-21,CVE-2023-6478,6.2,Moyenne,En cours,ACT-053
VUL-0157,2024-05-03,CVE-2023-1187,4.9,Moyenne,Corrigée,ACT-041
VUL-0158,2024-11-08,CVE-2025-1674,4.4,Moyenne,En cours,ACT-037
VUL-0159,2025-05-29,CVE-2025-4617,2.3,Basse,Ouverte,ACT-044
VUL-0160,2025-02-06,CVE-2024-9269,7.6,Haute,Ouverte,ACT-028
VUL-0161,2025-02-07,CVE-2023-3165,3.6,Basse,En cours,ACT-031
VUL-0162,2024-02-20,CVE-2025-7540,6.1,Moyenne,Ouverte,ACT-026
VUL-0163,2025-12-15,CVE-2023-3209,5.5,Moyenne,En cours,ACT-013
VUL-0164,2025-10-29,CVE-2025-4212,5.4,Moyenne,En cours,ACT-048
VUL-0165,2024-09-05,CVE-2023-5362,5.7,Moyenne,Corrigée,ACT-021
VUL-0166,2025-08-12,CVE-2023-2843,7.2,Haute,Corrigée,ACT-028
VUL-0167,2024-07-14,CVE-2024-6644,4.3,Moyenne,En cours,ACT-002
VUL-0168,2024-06-22,CVE-2024-8245,7.9,Haute,Corrigée,ACT-029
VUL-0169,2024-08-27,CVE-2023-7124,1.4,Basse,Ouverte,ACT-047
VUL-0170,2024-04-25,CVE-2025-1893,8.7,Haute,Ouverte,ACT-040
VUL-0171,2024-10-21,CVE-2023-6624,9.3,Critique,Corrigée,ACT-008
VUL-0172,2025-04-27,CVE-2023-6437,3.7,Basse,Ouverte,ACT-035
VUL-0173,2025-07-13,CVE-2025-5237,2.9,Basse,En cours,ACT-040
VUL-0174,2024-05-24,CVE-2025-1301,7.6,Haute,En cours,ACT-058
VUL-0175,2024-02-14,CVE-2024-3790,7.0,Haute,Ouverte,ACT-013
VUL-0176,2025-09-24,CVE-2024-1869,8.1,Haute,En cours,ACT-001
VUL-0177,2025-11-07,CVE-2024-6901,1.6,Basse,Corrigée,ACT-002
VUL-0178,2025-10-26,CVE-2024-4787,3.6,Basse,Corrigée,ACT-033
VUL-0179,2024-04-11,CVE-2024-8940,9.8,Critique,Corrigée,ACT-035
VUL-0180,2024-07-22,CVE-2025-8503,1.8,Basse,En cours,ACT-046
VUL-0181,2024-09-10,CVE-2025-5995,1.2,Basse,En cours,ACT-026
VUL-0182,2024-01-19,CVE-2024-6765,7.7,Haute,En cours,ACT-020
VUL-0183,2025-05-28,CVE-2024-2015,3.1,Basse,Corrigée,ACT-057
VUL-0184,2024-01-31,CVE-2025-5590,4.5,Moyenne,Ouverte,ACT-022
VUL-0185,2025-11-03,CVE-2023-2438,9.1,Critique,Corrigée,ACT-034
VUL-0186,2025-09-19,CVE-2025-4726,9.6,Critique,En cours,ACT-037
VUL-0187,2024-11-15,CVE-2025-6395,2.4,Basse,En cours,ACT-009
VUL-0188,2024-05-21,CVE-2025-9869,2.9,Basse,Corrigée,ACT-013
VUL-0189,2024-11-12,CVE-2025-9582,8.8,Haute,Corrigée,ACT-028
VUL-0190,2024-05-28,CVE-2025-3589,10.0,Critique,En cours,ACT-036
VUL-0191,2024-05-01,CVE-2023-6203,5.8,Moyenne,Corrigée,ACT-010
VUL-0192,2024-11-22,CVE-2024-7737,7.5,Haute,En cours,ACT-048
VUL-0193,2025-10-14,CVE-2025-5485,9.4,Critique,Ouverte,ACT-013
VUL-0194,2024-07-08,CVE-2023-5372,2.0,Basse,Corrigée,ACT-040
VUL-0195,2024-08-25,CVE-2023-1427,3.1,Basse,En cours,ACT-045
VUL-0196,2024-05-17,CVE-2025-8680,8.0,Haute,Corrigée,ACT-024
VUL-0197,2025-01-31,CVE-2024-8763,2.7,Basse,Ouverte,ACT-013
VUL-0198,2025-02-22,CVE-2023-5421,3.0,Basse,Corrigée,ACT-015
VUL-0199,2024-07-26,CVE-2023-2083,7.7,Haute,Ouverte,ACT-029
VUL-0200,2025-05-16,CVE-2025-6323,8.8,Haute,Corrigée,ACT-057
VUL-0201,2025-02-18,CVE-2023-7232,3.2,Basse,Corrigée,ACT-026
VUL-0202,2025-08-08,CVE-2025-9784,6.5,Moyenne,En cours,ACT-057
VUL-0203,2024-02-09,CVE-2025-2791,7.3,Haute,En cours,ACT-053
VUL-0204,2024-09-08,CVE-2025-9812,8.9,Haute,En cours,ACT-048
VUL-0205,2025-01-31,CVE-2025-1807,1.4,Basse,Ouverte,ACT-029
VUL-0206,2024-11-07,CVE-2024-8558,4.6,Moyenne,Ouverte,ACT-019
VUL-0207,2024-02-25,CVE-2025-9470,6.5,Moyenne,Corrigée,ACT-030
VUL-0208,2025-04-07,CVE-2023-9202,8.5,Haute,Ouverte,ACT-050
VUL-0209,2025-12-13,CVE-2025-3216,6.3,Moyenne,En cours,ACT-021
VUL-0210,2024-07-02,CVE-2024-4308,5.1,Moyenne,Corrigée,ACT-006
VUL-0211,2025-12-09,CVE-2025-3686,3.3,Basse,Corrigée,ACT-008
VUL-0212,2025-12-24,CVE-2024-6946,1.8,Basse,Ouverte,ACT-046
VUL-0213,2025-06-07,CVE-2025-3619,4.5,Moyenne,En cours,ACT-025
VUL-0214,2024-06-23,CVE-2024-3459,1.4,Basse,Ouverte,ACT-010
VUL-0215,2025-12-30,CVE-2023-7874,2.6,Basse,En cours,ACT-047
VUL-0216,2025-04-01,CVE-2024-3960,7.9,Haute,Ouverte,ACT-009
VUL-0217,2024-01-04,CVE-2025-5146,9.6,Critique,Ouverte,ACT-032
VUL-0218,2025-07-10,CVE-2023-9084,8.7,Haute,Ouverte,ACT-038
VUL-0219,2025-04-09,CVE-2024-8239,6.9,Moyenne,Ouverte,ACT-039
VUL-0220,2025-07-14,CVE-2024-4401,1.1,Basse,Ouverte,ACT-010
VUL-0221,2024-12-23,CVE-2023-3381,1.5,Basse,Corrigée,ACT-043
VUL-0222,2025-09-09,CVE-2024-6424,6.2,Moyenne,Corrigée,ACT-004
VUL-0223,2024-07-01,CVE-2023-5659,2.0,Basse,Corrigée,ACT-045
VUL-0224,2025-08-09,CVE-2025-3906,7.3,Haute,Corrigée,ACT-048
VUL-0225,2024-02-06,CVE-2023-5903,6.2,Moyenne,En cours,ACT-058
VUL-0226,2024-03-10,CVE-2024-2063,4.4,Moyenne,Ouverte,ACT-009
VUL-0227,2024-10-08,CVE-2024-9635,2.1,Basse,En cours,ACT-014
VUL-0228,2025-09-18,CVE-2023-2790,7.3,Haute,En cours,ACT-041
VUL-0229,2024-03-30,CVE-2024-5705,5.8,Moyenne,En cours,ACT-055
VUL-0230,2025-06-22,CVE-2025-6797,3.8,Basse,Corrigée,ACT-040
VUL-0231,2025-06-16,CVE-2025-9154,6.1,Moyenne,En cours,ACT-012
VUL-0232,2024-08-26,CVE-2025-5759,9.0,Critique,Corrigée,ACT-001
VUL-0233,2025-04-21,CVE-2025-2932,2.1,Basse,Corrigée,ACT-014
VUL-0234,2025-02-28,CVE-2024-1745,8.2,Haute,En cours,ACT-036
VUL-0235,2024-08-05,CVE-2023-4296,8.3,Haute,Corrigée,ACT-017
VUL-0236,2024-11-11,CVE-2024-9301,8.1,Haute,En cours,ACT-050
VUL-0237,2025-12-03,CVE-2024-6592,1.1,Basse,En cours,ACT-037
VUL-0238,2024-01-30,CVE-2023-4178,6.5,Moyenne,En cours,ACT-022
VUL-0239,2025-05-05,CVE-2024-1582,9.3,Critique,Corrigée,ACT-031
VUL-0240,2025-04-16,CVE-2025-6490,2.4,Basse,En cours,ACT-053
VUL-0241,2024-02-27,CVE-2025-5904,4.7,Moyenne,En cours,ACT-044
VUL-0242,2025-07-02,CVE-2023-4412,3.8,Basse,En cours,ACT-022
VUL-0243,2024-12-28,CVE-2023-3446,8.2,Haute,Ouverte,ACT-002
VUL-0244,2025-01-19,CVE-2025-9753,4.1,Moyenne,Corrigée,ACT-037
VUL-0245,2024-07-10,CVE-2025-2914,6.5,Moyenne,Corrigée,ACT-049
VUL-0246,2024-11-18,CVE-2025-1518,3.8,Basse,Ouverte,ACT-006
VUL-0247,2024-08-31,CVE-2024-8404,5.5,Moyenne,Corrigée,ACT-020
VUL-0248,2024-11-05,CVE-2023-2838,2.9,Basse,En cours,ACT-003
VUL-0249,2024-04-04,CVE-2024-9290,8.0,Haute,Ouverte,ACT-031
VUL-0250,2024-06-06,CVE-2023-6572,9.1,Critique,Corrigée,ACT-047
VUL-0251,2024-11-13,CVE-2024-3347,8.9,Haute,Corrigée,ACT-007
VUL-0252,2025-06-12,CVE-2025-3174,8.4,Haute,Ouverte,ACT-003
VUL-0253,2025-12-31,CVE-2025-2897,5.1,Moyenne,Ouverte,ACT-060
VUL-0254,2025-08-31,CVE-2023-6460,1.4,Basse,En cours,ACT-003
VUL-0255,2025-11-05,CVE-2025-6119,1.9,Basse,Ouverte,ACT-049
VUL-0256,2024-08-02,CVE-2024-4285,3.8,Basse,Ouverte,ACT-018
VUL-0257,2025-03-27,CVE-2025-2927,5.8,Moyenne,Ouverte,ACT-011
VUL-0258,2024-01-16,CVE-2025-9422,3.5,Basse,Ouverte,ACT-035
VUL-0259,2024-11-22,CVE-2024-3319,4.2,Moyenne,Corrigée,ACT-052
VUL-0260,2024-09-07,CVE-2023-2167,3.5,Basse,En cours,ACT-058
VUL-0261,2025-03-30,CVE-2023-3131,4.0,Moyenne,Ouverte,ACT-058
VUL-0262,2024-04-18,CVE-2024-1881,7.1,Haute,Ouverte,ACT-026
VUL-0263,2025-09-02,CVE-2025-8304,2.6,Basse,Corrigée,ACT-020
VUL-0264,2024-07-21,CVE-2025-9740,4.0,Moyenne,Ouverte,ACT-060
VUL-0265,2025-04-21,CVE-2025-3159,7.8,Haute,Ouverte,ACT-052
VUL-0266,2025-04-24,CVE-2023-8464,9.3,Critique,En cours,ACT-042
VUL-0267,2025-04-21,CVE-2024-4796,7.4,Haute,Corrigée,ACT-010
VUL-0268,2025-09-23,CVE-2024-6954,8.7,Haute,En cours,ACT-045
VUL-0269,2024-12-04,CVE-2024-8426,9.3,Critique,En cours,ACT-005
VUL-0270,2024-12-25,CVE-2024-8556,5.3,Moyenne,Corrigée,ACT-019
VUL-0271,2025-09-10,CVE-2025-3087,7.9,Haute,En cours,ACT-026
VUL-0272,2024-04-19,CVE-2024-2162,8.4,Haute,Corrigée,ACT-035
VUL-0273,2025-08-27,CVE-2024-4908,5.1,Moyenne,Corrigée,ACT-036
VUL-0274,2025-05-08,CVE-2024-2082,2.4,Basse,En cours,ACT-053
VUL-0275,2025-03-17,CVE-2024-6606,7.2,Haute,En cours,ACT-016
VUL-0276,2025-11-16,CVE-2023-8972,2.6,Basse,Ouverte,ACT-039
VUL-0277,2025-07-22,CVE-2023-8294,5.2,Moyenne,Ouverte,ACT-026
VUL-0278,2024-04-21,CVE-2025-7208,1.6,Basse,En cours,ACT-042
VUL-0279,2024-04-02,CVE-2023-3276,6.9,Moyenne,Corrigée,ACT-058
VUL-0280,2024-01-01,CVE-2023-3444,7.8,Haute,En cours,ACT-019
VUL-0281,2025-08-14,CVE-2024-4205,4.5,Moyenne,Ouverte,ACT-057
VUL-0282,2025-08-06,CVE-2025-5989,3.8,Basse,Corrigée,ACT-060
VUL-0283,2024-12-18,CVE-2023-1133,4.9,Moyenne,Corrigée,ACT-033
VUL-0284,2024-05-10,CVE-2024-2022,4.6,Moyenne,En cours,ACT-036
VUL-0285,2024-01-01,CVE-2025-6885,9.7,Critique,Ouverte,ACT-019
VUL-0286,2024-08-28,CVE-2024-7459,8.8,Haute,Corrigée,ACT-046
VUL-0287,2025-01-25,CVE-2024-9931,4.4,Moyenne,Ouverte,ACT-012
VUL-0288,2024-07-11,CVE-2025-7301,5.3,Moyenne,Corrigée,ACT-024
VUL-0289,2024-06-06,CVE-2024-3056,8.6,Haute,Ouverte,ACT-005
VUL-0290,2024-05-27,CVE-2025-8974,6.8,Moyenne,Corrigée,ACT-009
VUL-0291,2025-10-19,CVE-2024-8471,1.8,Basse,Corrigée,ACT-045
VUL-0292,2025-03-11,CVE-2025-3945,6.4,Moyenne,En cours,ACT-028
VUL-0293,2025-04-05,CVE-2024-6821,6.0,Moyenne,Ouverte,ACT-028
VUL-0294,2025-08-14,CVE-2024-4878,6.4,Moyenne,Corrigée,ACT-018
VUL-0295,2025-07-13,CVE-2025-7012,4.7,Moyenne,Ouverte,ACT-003
VUL-0296,2025-12-22,CVE-2024-2854,6.1,Moyenne,En cours,ACT-045
VUL-0297,2025-06-23,CVE-2024-8617,1.7,Basse,En cours,ACT-034
VUL-0298,2024-03-31,CVE-2023-8740,9.0,Critique,Corrigée,ACT-043
VUL-0299,2024-03-20,CVE-2025-9834,9.6,Critique,Corrigée,ACT-020
VUL-0300,2024-12-17,CVE-2025-1176,6.5,Moyenne,En cours,ACT-033
